Order_ID,User_ID,User_Name,City,Restaurant_Name,Cuisine_Type,Order_Amount,Tip_Amount,Delivery_Time_Mins,Order_Date,Year,Month,Day_of_Week,Payment_Method,Order_Count_Year
ORD_000001,USER_0378,Pooja Reddy,Lucknow,Behrouz Biryani,Biryani,608.59,96.64,60.0,2024-03-02,2024,3,Saturday,Cash,7
ORD_000002,USER_0612,Priya Gupta,Indore,Bombay Street,Street Food,206.58,28.23,23.0,2024-11-02,2024,11,Saturday,Wallet,4
ORD_000003,USER_0492,Meera Reddy,Nagpur,Szechuan Kitchen,Chinese,574.53,61.49,35.0,2024-10-06,2024,10,Sunday,Cash,6
ORD_000004,USER_0587,Pooja Patel,Lucknow,Dosa Plaza,South Indian,232.31,26.01,33.0,2023-01-20,2023,1,Friday,UPI,1
ORD_000005,USER_0514,Rajesh Singh,Jaipur,Chaat Corner,Street Food,77.62,0.0,40.0,2024-12-23,2024,12,Monday,UPI,4
ORD_000006,USER_0539,Divya Singh,Jaipur,Natural Ice Cream,Desserts,283.87,37.45,36.0,2023-06-27,2023,6,Tuesday,Wallet,3
ORD_000007,USER_0496,Riya Nair,Indore,Dominos,Italian,802.28,0.0,39.0,2023-10-13,2023,10,Friday,Debit Card,4
ORD_000008,USER_0722,Kavya Sharma,Chandigarh,Pasta Street,Italian,731.82,139.17,37.0,2023-11-21,2023,11,Tuesday,Debit Card,3
ORD_000009,USER_0125,Sneha Sharma,Pune,Giani's,Desserts,481.84,45.08,38.0,2023-12-20,2023,12,Wednesday,Cash,5
ORD_000010,USER_0355,Karan Verma,Nagpur,Bombay Street,Street Food,92.8,8.41,55.0,2024-05-05,2024,5,Sunday,Debit Card,5
ORD_000011,USER_0141,Priya Sharma,Delhi,Madras Cafe,South Indian,171.78,0.0,53.0,2024-08-23,2024,8,Friday,Credit Card,6
ORD_000012,USER_0654,Sanjay Rao,Indore,Pizza Hut,Italian,671.97,43.73,28.0,2023-04-13,2023,4,Thursday,Cash,8
ORD_000013,USER_0564,Rahul Rao,Nagpur,Chowmein Corner,Chinese,670.76,81.58,32.0,2024-10-30,2024,10,Wednesday,Debit Card,6
ORD_000014,USER_0329,Karan Kumar,Hyderabad,McDonald's,Fast Food,443.53,0.0,22.0,2023-04-02,2023,4,Sunday,Credit Card,7
ORD_000015,USER_0428,Rahul Joshi,Ahmedabad,Wok & Roll,Chinese,604.58,0.0,38.0,2024-02-11,2024,2,Sunday,Cash,3
ORD_000016,USER_0010,Rahul Nair,Delhi,Wendy's,Fast Food,198.29,18.38,54.0,2024-09-09,2024,9,Monday,Wallet,4
ORD_000017,USER_0506,Sanjay Nair,Ahmedabad,Szechuan Kitchen,Chinese,372.78,37.13,49.0,2024-04-24,2024,4,Wednesday,Debit Card,1
ORD_000018,USER_0736,Priya Joshi,Delhi,Wok & Roll,Chinese,605.85,99.11,31.0,2023-12-12,2023,12,Tuesday,Wallet,1
ORD_000019,USER_0655,Vikram Patel,Kolkata,Giani's,Desserts,231.17,14.87,28.0,2024-06-11,2024,6,Tuesday,UPI,8
ORD_000020,USER_0332,Riya Rao,Bhopal,Pizza Hut,Italian,645.22,58.1,41.0,2023-09-25,2023,9,Monday,Debit Card,4
ORD_000021,USER_0597,Riya Kumar,Bhopal,Punjabi Tadka,North Indian,415.73,0.0,27.0,2024-10-31,2024,10,Thursday,UPI,5
ORD_000022,USER_0315,Sanjay Kumar,Nagpur,Chowmein Corner,Chinese,476.13,74.05,39.0,2024-12-03,2024,12,Tuesday,Cash,1
ORD_000023,USER_0655,Vikram Patel,Kolkata,KFC,Fast Food,249.38,30.36,49.0,2024-09-21,2024,9,Saturday,Wallet,8
ORD_000024,USER_0383,Arjun Verma,Ahmedabad,Cream Stone,Desserts,402.94,70.05,,2024-04-27,2024,4,Saturday,Wallet,3
ORD_000025,USER_0084,Amit Reddy,Indore,Pani Puri Wala,Street Food,122.36,8.18,55.0,2024-12-21,2024,12,Saturday,Wallet,5
ORD_000026,USER_0208,Priya Reddy,Bangalore,Dragon House,Chinese,634.52,96.48,57.0,2023-12-02,2023,12,Saturday,UPI,6
ORD_000027,USER_0094,Suresh Reddy,Surat,Chaat Corner,Street Food,76.39,10.28,55.0,2024-04-09,2024,4,Tuesday,UPI,5
ORD_000028,USER_0689,Ananya Gupta,Ahmedabad,McDonald's,Fast Food,264.51,0.0,33.0,2024-02-10,2024,2,Saturday,Wallet,2
ORD_000029,USER_0075,Vikram Gupta,Lucknow,Delhi Darbar,North Indian,620.23,36.62,24.0,2023-12-19,2023,12,Tuesday,UPI,5
ORD_000030,USER_0033,Arun Gupta,Surat,Subway,Fast Food,496.04,,46.0,2023-07-04,2023,7,Tuesday,Debit Card,5
ORD_000031,USER_0392,Sneha Kumar,Pune,Delhi Chaat,Street Food,66.05,11.97,28.0,2024-01-20,2024,1,Saturday,Debit Card,7
ORD_000032,USER_0122,Arjun Reddy,Pune,Szechuan Kitchen,Chinese,487.98,40.7,20.0,2024-02-07,2024,2,Wednesday,Cash,1
ORD_000033,USER_0306,Anjali Reddy,Chandigarh,Pani Puri Wala,Street Food,156.39,13.63,42.0,2024-03-10,2024,3,Sunday,Credit Card,3
ORD_000034,USER_0283,Neha Verma,Lucknow,Pizza Hut,Italian,1028.53,169.61,21.0,2023-02-02,2023,2,Thursday,Credit Card,5
ORD_000035,USER_0212,Neha Sharma,Jaipur,Saravana Bhavan,South Indian,110.07,17.12,23.0,2024-08-31,2024,8,Saturday,Credit Card,3
ORD_000036,USER_0759,Vikram Verma,Lucknow,Delhi Darbar,North Indian,340.6,0.0,23.0,2024-03-25,2024,3,Monday,Credit Card,2
